,name,author,title,url,publishedDate
0,BBC News,,Sydney church stabbing declared a 'terrorist attack' - BBC.com,https://www.bbc.com/news/world-australia-68823240,2024-04-16T02:13:14Z
1,Yahoo Entertainment,Yahoo Sports Staff,WNBA Draft 2024: Caitlin Clark goes No. 1 to Indiana Fever; Angel Reese joins Kamilla Cardoso on Chicago Sky - Yahoo Sports,https://sports.yahoo.com/live/wnba-draft-2024-live-updates-caitlin-clark-kamilla-cardoso-220900847.html,2024-04-16T02:10:00Z
2,The Jerusalem Post,By  TOVAH LAZAROFF,"Iran's attack is an 'embarrassing failure,' a success for Israel, says US - The Jerusalem Post",https://www.jpost.com/middle-east/irans-attack-is-an-embarrassing-failure-a-success-for-israel-says-us-797324,2024-04-16T01:55:09Z
3,New York Post,Stefan Bondy,Jalen Brunson snubbed by Team USA with 2024 Olympics roster revealed - New York Post ,https://nypost.com/2024/04/15/sports/jalen-brunson-snubbed-by-team-usa-for-2024-olympic-roster/,2024-04-16T01:42:00Z
4,CNN,"By <a href=""/profiles/kara-scannell-profile"">Kara Scannell</a>, <a href=""/profiles/jeremy-herb"">Jeremy Herb</a>, <a href=""/profiles/maureen-chowdhury"">Maureen Chowdhury</a>, <a href=""/profiles/kaanita-iyer"">Kaanita Iyer</a>, <a href=""/profiles/aditi-sandal"">Aditi Sangal</a> and <a href=""/profiles/elise-hammond"">Elise Hammond</a>, CNN",Day 1 of Trump New York hush money trial - CNN,https://www.cnn.com/politics/live-news/trump-hush-money-trial-04-15-24/index.html,2024-04-16T01:06:00Z
5,Yahoo Entertainment,Jason Owens,D.J. Wagner continues 5-star exodus from Kentucky; Zvonimir Ivišić following John Calipari to Arkansas - Yahoo Sports,https://sports.yahoo.com/dj-wagner-continues-5-star-exodus-from-kentucky-zvonimir-ivisic-following-john-calipari-to-arkansas-004702330.html,2024-04-16T00:47:00Z
6,The Washington Post,Cleve R. Wootson Jr.,Biden uses release of 2023 tax returns to draw contrast with Trump - The Washington Post,https://www.washingtonpost.com/politics/2024/04/15/biden-uses-2023-tax-returns-draw-contrast-with-trump/,2024-04-16T00:43:00Z
7,[Removed],,[Removed],https://removed.com,1970-01-01T00:00:00Z
8,CNYcentral.com,Emma Misiaszek,Officers killed in line of duty identified as seasoned deputy and young police officer - CNYcentral.com,https://cnycentral.com/news/local/officers-killed-in-line-of-duty-identified-as-young-police-officer-and-seasoned-deputy-salina-syracuse-police-onondaga-county-sheriffs-office-michael-jensen-michael-hoosock-shooting-gunfire-fatal,2024-04-16T00:11:15Z
9,Reuters,Victoria Waldersee,Tesla laying off more than 10% of staff globally as sales fall - Reuters,https://www.reuters.com/business/autos-transportation/tesla-lay-off-more-than-10-its-staff-electrek-reports-2024-04-15/,2024-04-15T23:32:27Z
10,Reuters,Reuters,'Rust' armorer sentenced to 18 months in fatal shooting by Alec Baldwin - Reuters,https://www.reuters.com/legal/government/rust-armorer-sentenced-18-months-fatal-shooting-by-alec-baldwin-2024-04-15/,2024-04-15T23:32:00Z
11,Axios,Axios,"FBI conducts ""law enforcement activity"" aboard cargo ship that struck Baltimore bridge - Axios",https://www.axios.com/2024/04/15/fbi-cargo-ship-baltimore-bridge-collapse,2024-04-15T23:12:39Z
12,Associated Press,ANDREW DEMILLO,Audit cites potential legal violations in purchase of $19000 lectern for Arkansas governor - The Associated Press,https://apnews.com/article/arkansas-huckabee-sanders-lectern-audit-19000-eb69927a5df693ac3e131b3c80f34b37,2024-04-15T23:09:43Z
13,Associated Press,JOSEF FEDERMAN,Israel's military chief says that Israel will respond to Iran's weekend missile attack - The Associated Press,https://apnews.com/article/mideast-tensions-israel-iran-drone-attack-aec3627b0b19b42dcafc89a7408dc296,2024-04-15T23:08:00Z
14,ABC News,The Associated Press,NASA confirms mystery object that crashed through roof of Florida home came from space station - ABC News,https://abcnews.go.com/US/wireStory/nasa-confirms-mystery-object-crashed-roof-florida-home-109268451,2024-04-15T23:07:26Z
15,Yahoo Entertainment,Reuters,"US Justice Department to file antitrust suit against Live Nation, WSJ reports - Yahoo Finance",https://finance.yahoo.com/news/us-justice-department-file-antitrust-214340109.html,2024-04-15T23:07:03Z
16,CNN,Sandee LaMotte,Melatonin industry asked to voluntarily tighten standards after dramatic rise in childhood ER visits - CNN,https://www.cnn.com/2024/04/15/health/melatonin-safety-standards-wellness/index.html,2024-04-15T22:30:00Z
17,Android Police,Timi Cantisano,YouTube is finally cracking down on third-party apps like ReVanced - Android Police,https://www.androidpolice.com/youtube-cracking-down-third-party-apps-like-revanced/,2024-04-15T22:21:00Z
18,Reuters,Reuters,Morning Bid: China GDP eyed as investor sentiment crumbles - Reuters,https://www.reuters.com/markets/asia/global-markets-view-asia-graphic-pix-2024-04-15/,2024-04-15T21:46:00Z
19,SpaceNews,Jeff Foust,NASA to look for new options to carry out Mars Sample Return program - SpaceNews,https://spacenews.com/nasa-to-look-for-new-options-to-carry-out-mars-sample-return-program/,2024-04-15T21:42:38Z
